staff_id,first_name,last_name,specialty,department,experience_years,employment_status,shift_start_time,shift_end_time,weekly_hours,hourly_rate,email,phone,hire_date,certification_expiry
STF001,Jane,Martin,Nurse Practitioner,Nursing,22,Full-time,08:00,18:00,44,106.08,jane.martin@gmail.com,+1-573-367-7234,2017-05-12,2027-06-11
STF002,Joseph,Lopez,Registered Nurse,Nursing,24,Part-time,09:00,19:00,38,98.9,joseph.lopez@clinic.com,+1-319-226-7140,2022-07-11,2027-05-02
STF003,James,Anderson,Anesthesiologist,Surgery,5,Full-time,09:00,18:00,35,146.16,james.anderson@clinic.com,+1-313-478-1557,2023-05-30,
STF004,James,Martin,Lab Technician,Andrology,21,Full-time,08:00,18:00,41,52.06,james.martin@hospital.org,+1-751-528-8508,2017-11-24,2026-07-02
STF005,Amanda,Hernandez,Registered Nurse,Ultrasound,6,Full-time,09:00,19:00,39,25.4,amanda.hernandez@clinic.com,+1-970-889-7717,2018-09-29,
STF006,John,Anderson,Andrologist,Andrology,17,Contract,10:00,18:00,45,135.09,john.anderson@clinic.com,+1-840-923-3341,2020-08-01,
STF007,Emily,Wilson,Registered Nurse,Ultrasound,14,Full-time,10:00,17:00,42,110.17,emily.wilson@gmail.com,+1-633-824-9852,2018-06-08,2025-12-20
STF008,Robert,Lopez,Counselor,Counseling,25,Full-time,08:00,18:00,42,83.38,,+1-817-607-2681,2020-11-22,2026-07-24
STF009,Thomas,Williams,Nurse Practitioner,Nursing,11,Full-time,10:00,18:00,37,100.92,thomas.williams@clinic.com,+1-896-638-6466,2018-11-11,
STF010,Jessica,Martin,Nurse Practitioner,Reproductive Endocrinology,17,Contract,10:00,17:00,35,32.91,jessica.martin@gmail.com,+1-721-345-4410,2017-06-02,2026-09-23
STF011,David,Miller,Ultrasound Technician,Ultrasound,4,Part-time,09:00,19:00,39,94.03,david.miller@clinic.com,+1-382-642-3876,2016-01-05,2026-12-23
STF012,Sarah,Garcia,Ultrasound Technician,Ultrasound,18,On-leave,08:00,19:00,37,82.77,sarah.garcia@outlook.com,+1-469-240-5051,2021-09-21,2026-06-23
STF013,Sarah,Williams,Lab Technician,Andrology,22,Full-time,23:00,06:00,37,79.09,sarah.williams@gmail.com,+1-436-776-1975,2021-07-02,2026-03-21
STF014,Nicole,Miller,Andrologist,Andrology,13,Full-time,23:00,07:00,29,55.29,nicole.miller@outlook.com,+1-892-963-5702,2023-01-26,2026-09-20
STF015,Jane,Davis,Anesthesiologist,Surgery,19,Full-time,10:00,17:00,42,50.54,,+1-383-659-8780,2015-11-02,2027-01-03
STF016,Amanda,Miller,Counselor,Counseling,23,Part-time,10:00,19:00,38,83.23,amanda.miller@clinic.com,+1-349-484-6000,2019-06-05,2027-08-03
STF017,Joseph,Taylor,Registered Nurse,Nursing,16,Full-time,22:00,14:00,42,85.02,joseph.taylor@outlook.com,+1-281-375-9627,2020-08-01,2027-02-25
DOC018,Jennifer,Smith,Reproductive Endocrinologist,Reproductive Endocrinology,24,Full-time,10:00,18:00,36,64.59,jennifer.smith@yahoo.com,+1-835-590-6136,2017-06-21,
STF019,Jennifer,Smith,Embryologist,Embryology Lab,15,Part-time,09:00,17:00,38,32.03,jennifer.smith@gmail.com,+1-304-780-2131,2017-01-07,2027-06-16
STF020,Michelle,Gonzalez,Nurse Practitioner,Reproductive Endocrinology,1,Full-time,08:00,19:00,36,135.28,michelle.gonzalez@outlook.com,+1-280-796-4432,2023-01-25,2026-09-11
STF021,Michelle,Gonzalez,Registered Nurse,Nursing,12,Full-time,08:00,17:00,42,76.86,michelle.gonzalez@outlook.com,+1-933-267-8555,2015-04-24,2026-04-23
STF022,Robert,Anderson,Nurse Practitioner,Reproductive Endocrinology,10,Full-time,08:00,17:00,45,95.71,robert.anderson@hospital.org,+1-848-874-1725,2019-08-22,2025-11-20
STF023,John,Smith,Lab Technician,Embryology Lab,11,Full-time,06:00,14:00,51,131.9,john.smith@yahoo.com,+1-542-476-7985,2018-01-14,2025-03-26
STF024,Michael,Williams,Counselor,Counseling,3,Part-time,09:00,19:00,38,113.47,michael.williams@gmail.com,+1-233-510-6553,2021-06-01,2027-04-13
STF025,Richard,Martin,Lab Technician,Embryology Lab,9,Full-time,09:00,17:00,40,139.1,richard.martin@outlook.com,+1-974-706-8941,2024-06-13,2027-02-10
STF026,John,Rodriguez,Nurse Practitioner,Nursing,14,Full-time,09:00,19:00,43,119.61,john.rodriguez@outlook.com,+1-467-975-1932,2023-10-02,2027-10-05
STF027,Joseph,Garcia,Andrologist,Andrology,3,Full-time,09:00,19:00,35,95.94,joseph.garcia@clinic.com,+1-318-507-2591,2022-07-12,2026-11-08
STF028,Nicole,Garcia,Registered Nurse,Nursing,9,Full-time,09:00,17:00,39,118.32,nicole.garcia@hospital.org,+1-533-247-5303,2021-12-31,2026-06-18
